ts,coin,label,book_time_ms,best_bid_before,best_bid_after,best_ask_before,best_ask_after,bid_top_depth_delta,ask_top_depth_delta,bid_top_notional_delta,ask_top_notional_delta,mid_move,spread_before,spread_after,is_impulse
2026-06-30T21:00:14.188391+00:00,#1890,france_champion_yes,1782853213331,0.2852,0.2852,0.30336,0.30336,0.0,0.0,0.0,0.0,0.0,0.01816000000000001,0.01816000000000001,False
2026-06-30T21:00:14.188544+00:00,#1891,france_champion_no,1782853213331,0.69664,0.69664,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.018159999999999954,0.018159999999999954,False
2026-06-30T21:00:14.188699+00:00,#2130,sweden_champion_yes,1782853213331,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:14.188775+00:00,#2131,sweden_champion_no,1782853213331,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:14.188851+00:00,#6740,France,1782853213331,0.88165,0.88165,0.88333,0.88333,0.0,0.0,0.0,0.0,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:14.188951+00:00,#6741,Sweden,1782853213331,0.11667,0.11667,0.11835,0.11835,0.0,0.0,0.0,0.0,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:14.359855+00:00,#1890,france_champion_yes,1782853213881,0.2852,0.2852,0.30336,0.29437,0.0,-2721.0,0.0,-899.9252800000004,-0.004494999999999971,0.01816000000000001,0.009170000000000011,True
2026-06-30T21:00:14.360020+00:00,#1891,france_champion_no,1782853213881,0.69664,0.70563,0.7148,0.7148,-2721.0,0.0,-1821.0747200000005,0.0,0.004495000000000027,0.018159999999999954,0.009170000000000011,True
2026-06-30T21:00:14.360150+00:00,#2130,sweden_champion_yes,1782853213881,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:14.360253+00:00,#2131,sweden_champion_no,1782853213881,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:14.360350+00:00,#6740,France,1782853213881,0.88165,0.88165,0.88333,0.88333,0.0,0.0,-2.399999999999636,0.0,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:14.360452+00:00,#6741,Sweden,1782853213881,0.11667,0.11667,0.11835,0.11835,0.0,0.0,0.0,2.3999999999998636,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:14.850283+00:00,#1890,france_champion_yes,1782853214431,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:14.850380+00:00,#1891,france_champion_no,1782853214431,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:14.850473+00:00,#2130,sweden_champion_yes,1782853214431,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:14.850550+00:00,#2131,sweden_champion_no,1782853214431,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:14.850622+00:00,#6740,France,1782853214431,0.88165,0.88165,0.88333,0.88333,-7475.0,-24.0,-6570.084250000001,-21.19992000000093,0.0,0.0016799999999999038,0.0016799999999999038,True
2026-06-30T21:00:14.850715+00:00,#6741,Sweden,1782853214431,0.11667,0.11667,0.11835,0.11835,-24.0,-7475.0,-2.80007999999998,-904.9157499999999,0.0,0.001680000000000001,0.001680000000000001,True
2026-06-30T21:00:15.368324+00:00,#1890,france_champion_yes,1782853214956,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:15.368585+00:00,#1891,france_champion_no,1782853214956,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:15.368738+00:00,#2130,sweden_champion_yes,1782853214956,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:15.368824+00:00,#2131,sweden_champion_no,1782853214956,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:15.368905+00:00,#6740,France,1782853214956,0.88165,0.88165,0.88333,0.88333,7475.0,-500.0,6558.75925,-441.66499999999905,0.0,0.0016799999999999038,0.0016799999999999038,True
2026-06-30T21:00:15.369010+00:00,#6741,Sweden,1782853214956,0.11667,0.11667,0.11835,0.11835,-500.0,7475.0,-58.335000000000036,916.2407499999999,0.0,0.001680000000000001,0.001680000000000001,True
2026-06-30T21:00:15.915520+00:00,#1890,france_champion_yes,1782853215514,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:15.915709+00:00,#1891,france_champion_no,1782853215514,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:15.915797+00:00,#2130,sweden_champion_yes,1782853215514,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:15.915873+00:00,#2131,sweden_champion_no,1782853215514,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
